cube,band_common_name,band_name,color_description,hexadecimal
CBERS-4/MUX - Level-4-SR - Data Cube - LCF 2 months,BAND5,blue,Azul,#1976D2
CBERS-4/MUX - Level-4-SR - Data Cube - LCF 2 months,BAND6,green,Verde,#2E7D32
CBERS-4/MUX - Level-4-SR - Data Cube - LCF 2 months,BAND7,red,Vermelho,#D32F2F
CBERS-4/MUX - Level-4-SR - Data Cube - LCF 2 months,BAND7,nir,Roxo,#7B1FA2
CBERS-4/MUX - Level-4-SR - Data Cube - LCF 2 months,CLEAROB,ClearOb,Cinza claro,#BDBDBD
CBERS-4/MUX - Level-4-SR - Data Cube - LCF 2 months,CMASK,quality,Preto,#212121
CBERS-4/MUX - Level-4-SR - Data Cube - LCF 2 months,EVI,evi,Verde limão,#7CB342
CBERS-4/MUX - Level-4-SR - Data Cube - LCF 2 months,NDVI,ndvi,Verde escuro,#1B5E20
CBERS-4/MUX - Level-4-SR - Data Cube - LCF 2 months,PROVENANCE,Provenance,Cinza azulado,#607D8B
CBERS-4/MUX - Level-4-SR - Data Cube - LCF 2 months,TOTALOB,TotalOb,Cinza médio,#757575
CBERS-4/WFI - Level-4-SR - Data Cube - LCF 16 days,BAND13,blue,Azul,#1976D2
CBERS-4/WFI - Level-4-SR - Data Cube - LCF 16 days,BAND14,green,Verde,#2E7D32
CBERS-4/WFI - Level-4-SR - Data Cube - LCF 16 days,BAND15,red,Vermelho,#D32F2F
CBERS-4/WFI - Level-4-SR - Data Cube - LCF 16 days,BAND16,nir,Roxo,#7B1FA2
CBERS-4/WFI - Level-4-SR - Data Cube - LCF 16 days,CLEAROB,ClearOb,Cinza claro,#BDBDBD
CBERS-4/WFI - Level-4-SR - Data Cube - LCF 16 days,CMASK,quality,Preto,#212121
CBERS-4/WFI - Level-4-SR - Data Cube - LCF 16 days,EVI,evi,Verde limão,#7CB342
CBERS-4/WFI - Level-4-SR - Data Cube - LCF 16 days,NDVI,ndvi,Verde escuro,#1B5E20
CBERS-4/WFI - Level-4-SR - Data Cube - LCF 16 days,PROVENANCE,Provenance,Cinza azulado,#607D8B
